"C1"	"C2"	"H2"	"H3"	"T1"	"T2"
"ENSG00000000003"	7.51855076272437	7.33926873702735	7.28661008946782	7.33668943130199	7.25516100800206	7.25757997948876
"ENSG00000000419"	9.27932772975038	9.36556159621767	9.24807110112227	9.21343895560999	9.66293485420742	9.44887795350574
"ENSG00000000457"	9.57592510181537	9.56274248855847	9.23549750471624	9.05900073598618	9.39949424565213	9.31756522597083
"ENSG00000000460"	8.21561421141564	7.9966013012511	7.99694831442636	7.97684236373836	8.0883814806677	8.05346135858023
"ENSG00000000938"	13.7693224715333	13.9136724776696	13.7913733180013	13.9774493587661	14.3639841682035	14.1953740237736
"ENSG00000000971"	8.13162046951339	8.27258371040594	7.13503344358809	7.89981682751187	8.02341636920157	7.838775488353
"ENSG00000001036"	10.1519193230654	10.1113667156148	9.73499007870715	9.95598472923367	10.4800827170392	10.7120062577067
"ENSG00000001084"	9.92115745981338	9.8882893412892	9.58898979709864	9.57289782948844	10.012023080282	9.92644540657199
"ENSG00000001167"	10.3578483935962	10.5247684645518	9.92039493076757	9.77987573377722	10.4864972312197	10.2070909921151
"ENSG00000001460"	7.860273265579	7.62159922554634	8.18626374601905	7.85468016627066	7.68919803494728	7.37375439365787
"ENSG00000001461"	10.619653225503	10.5684573377738	11.2535648656629	11.0660023549423	10.495005156187	10.2853081832226
"ENSG00000001497"	10.0953770267032	10.1047507872003	10.7446291235764	10.6334837446502	10.3310973619543	9.93126618699792
"ENSG00000001561"	9.26041742617911	9.62962287273551	8.79070171818395	9.4080419108617	9.47413067551637	9.60154623410203
"ENSG00000001629"	10.5535776216759	10.6743758997457	9.59061012662232	10.3139784141288	10.3663571423985	10.7294568541073
"ENSG00000001630"	8.96516686455762	9.36838852627885	9.34655228366539	9.14089565698211	9.80321374366826	10.033329854534
"ENSG00000001631"	8.75508629370008	8.63427834448796	7.68754835444232	8.2935970171265	8.18781653725042	8.78343643134292
"ENSG00000002016"	8.86019501952316	8.42663250773347	8.15541576205088	8.16450096209928	7.96157214675654	8.13102822972512
"ENSG00000002330"	9.019678507946	9.2958688805833	9.61945384794783	9.60735837745709	9.51531452687751	9.18034609075864
"ENSG00000002549"	11.6786105028116	11.1399697295157	11.7256494470284	11.2909988162663	13.1500604954121	13.9776199719338
"ENSG00000002587"	7.5872253235265	7.59126403839997	7.95272622250417	7.58855401159991	7.40877926320005	7.67160763607013
"ENSG00000002726"	7.6587487149377	7.45140451068179	7.13503344358809	7.10224639600144	7.46090710564621	7.67160763607013
"ENSG00000002745"	7.53057321600934	7.47096833160226	7.62093713731738	7.51722051474846	7.06128860098886	6.9271303132048
"ENSG00000002746"	7.51855076272437	7.40979626991109	7.28661008946782	7.33668943130199	7.25516100800206	7.98488393935261
"ENSG00000002822"	10.2200792304952	10.4835068740102	11.1649012726448	11.1218619010979	10.4843622732434	9.83153895160759
"ENSG00000002834"	13.1564348517854	13.2757339271966	13.8698367185455	13.7983320330294	13.6324770558196	13.2651373719173
"ENSG00000002919"	10.1684489662337	9.96360761929367	10.2459173832023	10.016854863163	10.3394034303084	10.0077427607219
"ENSG00000002933"	10.596347106333	10.0069270871409	9.16190428492985	10.5385509319102	11.193667361211	11.0005547111496
"ENSG00000003056"	12.5212239512931	12.4519287673967	12.6904042272074	12.5487753564099	12.7227942918115	12.7731690739325
"ENSG00000003096"	7.34678114049937	7.43104732903533	7.24434308567135	7.17463029548919	7.40877926320005	7.41231338145677
"ENSG00000003147"	8.03373440712264	7.84763064276074	7.86413099148871	7.8699996197897	8.26086694170634	8.03116264640625
"ENSG00000003249"	7.85284697980185	7.80297251208345	7.92642813930371	7.83114781906994	7.46090710564621	7.43044827479225
"ENSG00000003393"	8.62628360890742	8.77588881974643	8.57318091449392	8.23876459091236	8.48328092618626	8.55031850907447
"ENSG00000003400"	11.2397982993616	11.0634333489593	10.7665677134708	10.7559904347533	11.2072615187879	11.458879210388
"ENSG00000003402"	13.0674329493169	13.4017278504499	13.30279810011	13.259412149455	13.3876502932957	13.6678947078189
