Gene_ID,C1,C2,H2,H3,external_gene_name
ENSG00000132470,5.42653695,5.67068966,5.882203071,5.068634558,ITGB4
ENSG00000132471,11.50104069,11.43023269,11.68972636,11.62916975,WBP2
ENSG00000132475,12.86488491,12.86083183,13.73373263,13.85477869,H3-3B
ENSG00000132478,9.790675729,9.79695106,10.12359274,9.920674059,UNK
ENSG00000132481,6.61171872,5.810319491,6.8544515,6.261499392,TRIM47
ENSG00000132485,10.66854432,10.52603607,8.904694311,9.868549833,ZRANB2
ENSG00000132510,10.70169658,10.83168093,12.80297622,12.03215417,KDM6B
ENSG00000132514,8.875789568,9.218249957,8.362387553,8.829868785,CLEC10A
ENSG00000132517,6.113854455,5.609083847,5.982604619,5.660588894,SLC52A1
ENSG00000132518,6.437467206,5.91031829,5.342961124,5.304821121,GUCY2D
ENSG00000132530,12.64618247,11.63760162,10.01290344,10.93205177,XAF1
ENSG00000132535,9.53233626,9.410452601,8.930801191,8.964123132,DLG4
ENSG00000132541,6.790920943,6.204474494,5.982604619,6.700757531,RIDA
ENSG00000132549,10.30393576,10.43876358,9.376859665,9.770350533,VPS13B
ENSG00000132561,6.381389673,6.045466245,7.12367682,6.352256175,MATN2
ENSG00000132563,4.825852101,5.050089326,5.093993946,5.613871813,REEP2
ENSG00000132570,8.275652955,8.434485355,7.809103039,7.695563992,PCBD2
ENSG00000132581,8.835144399,8.99635957,9.395709985,9.268198664,SDF2
ENSG00000132589,12.03194743,11.89865699,12.57943731,12.41439842,FLOT2
ENSG00000132591,8.630854725,8.606645639,9.459808062,9.18697317,ERAL1
ENSG00000132600,9.768266975,9.495095695,10.17200803,10.4938863,PRMT7
ENSG00000132603,8.614923234,8.577143878,9.294590264,8.789396443,NIP7
ENSG00000132604,9.557508145,9.378568938,9.72863582,9.486205536,TERF2
ENSG00000132612,9.875075591,10.10484477,10.80843123,10.70117863,VPS4A
ENSG00000132613,7.225008194,6.640897164,8.17796146,8.344675208,MTSS2
ENSG00000132622,4.646039361,4.398995776,4.398995776,4.398995776,HSPA12B
ENSG00000132623,7.103930169,6.871112449,6.598041135,6.326989444,ANKEF1
